Subject,Drug,Press_Req,OptOuts,Rewards,Presses,Holds,Duration
sub_847,Vehicle,80,5,5,400,0,21.4055
sub_847,.1mg/kg,10,5,5,50,4,18.46
sub_847,.1mg/kg,20,5,5,100,1,18.75333333
sub_847,.1mg/kg,40,5,5,200,5,23.3615
sub_847,.1mg/kg,80,10,0,106,0,31.84266667
sub_847,.2mg/kg,10,5,5,50,0,19.21283333
sub_847,.2mg/kg,20,5,5,100,0,20.68816667
sub_847,.2mg/kg,40,9,1,40,0,31.84733333
sub_847,.2mg/kg,80,10,0,6,0,34.9555
sub_867,Vehicle,10,5,5,0,12,19.09716667
sub_867,Vehicle,20,0,10,100,16,5.891333333
sub_867,Vehicle,40,0,10,200,10,8.442
sub_867,Vehicle,80,0,10,400,37,8.120666667
sub_867,.1mg/kg,10,0,10,50,13,7.075
sub_867,.1mg/kg,20,0,10,100,9,8.5065
sub_867,.1mg/kg,40,0,10,200,6,6.4625
sub_867,.1mg/kg,80,2,8,286,9,14.24133333
sub_867,.2mg/kg,10,8,2,10,1,30.92416667
sub_867,.2mg/kg,20,2,8,100,8,15.72666667
sub_867,.2mg/kg,40,10,0,18,0,32.52966667
sub_867,.2mg/kg,80,8,2,2,2,28.29033333
sub_868,Vehicle,10,0,10,50,287,10.4705
sub_868,Vehicle,20,0,10,100,45,7.053333333
sub_868,Vehicle,40,0,10,200,54,8.873
sub_868,Vehicle,80,0,10,400,55,9.690833333
sub_868,.1mg/kg,10,0,10,50,59,12.27533333
sub_868,.1mg/kg,20,0,10,100,53,11.25566667
sub_868,.1mg/kg,40,0,10,200,43,7.736
sub_868,.1mg/kg,80,0,10,400,44,10.2225
sub_868,.2mg/kg,10,5,5,50,1,20.49033333
sub_868,.2mg/kg,20,6,4,80,1,26.06783333
sub_868,.2mg/kg,40,10,0,21,0,32.4515
sub_868,.2mg/kg,80,10,0,1,0,33.79083333
sub_869,Vehicle,10,0,10,50,30,9.816166667
sub_869,Vehicle,20,0,10,100,9,4.282
sub_869,Vehicle,40,0,10,200,7,5.8555
sub_869,Vehicle,80,0,10,400,10,7.6395
sub_869,.1mg/kg,10,0,10,50,24,9.521166667
sub_869,.1mg/kg,20,0,10,100,10,6.239166667
sub_869,.1mg/kg,40,0,10,200,8,8.998
sub_869,.1mg/kg,80,3,7,376,7,17.903
sub_869,.2mg/kg,10,0,10,50,6,6.375833333
sub_869,.2mg/kg,20,2,8,64,6,19.41916667
sub_869,.2mg/kg,40,6,4,2,5,27.83933333
sub_869,.2mg/kg,80,5,5,1,6,23.62416667
sub_870,Vehicle,10,0,10,50,33,7.007833333
sub_870,Vehicle,20,0,10,100,17,5.488333333
sub_870,Vehicle,40,0,10,200,5,5.375
sub_870,Vehicle,80,0,10,400,14,8.299
sub_870,.1mg/kg,10,0,10,50,5,6.383333333
sub_870,.1mg/kg,20,0,10,100,5,5.313166667
sub_870,.1mg/kg,40,2,8,185,5,14.30983333
sub_870,.1mg/kg,80,5,5,54,6,18.9905
sub_870,.2mg/kg,10,0,10,50,5,8.137666667
sub_870,.2mg/kg,20,0,10,100,7,7.484666667
sub_870,.2mg/kg,40,5,5,146,3,20.61166667
sub_870,.2mg/kg,80,8,2,93,3,28.878
sub_871,Vehicle,10,0,10,50,14,6.9545
sub_871,Vehicle,20,0,10,100,11,5.769333333
sub_871,Vehicle,40,0,10,200,11,8.637333333
