Subject,Drug,Drug_Code,Baseline_Code,Press_Req,Rewards,OptOuts,Presses,Holds,Duration
sub_29,.1Hal - Veh,B_Hal_Veh,0,20,2,8,16,4,30.38033333
sub_29,.1Hal - Veh,B_Hal_Veh,0,40,2,8,16,4,30.38033333
sub_29,.1Hal - Veh,B_Hal_Veh,0,80,2,8,16,4,30.38033333
sub_29,.1Hal - .125KW,C_Hal_.125KW,0,10,2,8,16,4,30.38033333
sub_29,.1Hal - .125KW,C_Hal_.125KW,0,20,2,8,16,4,30.38033333
sub_29,.1Hal - .125KW,C_Hal_.125KW,0,40,2,8,16,4,30.38033333
sub_29,.1Hal - .125KW,C_Hal_.125KW,0,80,2,8,16,4,30.38033333
sub_29,.1Hal-.5KW,D_Hal_.5KW,0,10,2,8,16,4,30.38033333
sub_29,.1Hal-.5KW,D_Hal_.5KW,0,20,2,8,16,4,30.38033333
sub_29,.1Hal-.5KW,D_Hal_.5KW,0,40,2,8,16,4,30.38033333
sub_29,.1Hal-.5KW,D_Hal_.5KW,0,80,2,8,16,4,30.38033333
sub_831,Baseline,A,1,10,9,1,43,7,10.67616667
sub_831,Baseline,A,1,20,10,0,100,9,6.638833333
sub_831,Baseline,A,1,40,10,0,200,10,6.824833333
sub_831,Baseline,A,1,80,7,3,303,26,17.542
sub_831,Veh-Veh,A_Veh_Veh,0,10,10,0,50,15,5.062833333
sub_831,Veh-Veh,A_Veh_Veh,0,20,10,0,100,9,5.567166667
sub_831,Veh-Veh,A_Veh_Veh,0,40,10,0,200,8,7.7785
sub_831,Veh-Veh,A_Veh_Veh,0,80,10,0,400,14,13.45366667
sub_831,.1Hal - Veh,B_Hal_Veh,0,10,10,0,50,7,11.27066667
sub_831,.1Hal - Veh,B_Hal_Veh,0,20,7,3,56,6,21.16233333
sub_831,.1Hal - Veh,B_Hal_Veh,0,40,4,6,25,5,23.07066667
sub_831,.1Hal - Veh,B_Hal_Veh,0,80,5,5,8,5,18.91483333
sub_831,.1Hal - .125KW,C_Hal_.125KW,0,10,8,2,38,7,15.334
sub_831,.1Hal - .125KW,C_Hal_.125KW,0,20,5,5,13,5,24.382
sub_831,.1Hal - .125KW,C_Hal_.125KW,0,40,5,5,0,5,22.323
sub_831,.1Hal - .125KW,C_Hal_.125KW,0,80,6,4,83,6,19.56683333
sub_831,.1Hal-.5KW,D_Hal_.5KW,0,10,9,1,50,24,8.973833333
sub_831,.1Hal-.5KW,D_Hal_.5KW,0,20,10,0,100,7,8.977166667
sub_831,.1Hal-.5KW,D_Hal_.5KW,0,40,5,5,114,5,20.6495
sub_831,.1Hal-.5KW,D_Hal_.5KW,0,80,5,5,200,6,19.60616667
sub_836,Baseline,A,1,10,10,0,50,13,7.2
sub_836,Baseline,A,1,20,10,0,100,5,5.9605
sub_836,Baseline,A,1,40,8,2,127,5,10.88416667
sub_836,Baseline,A,1,80,7,3,175,8,17.20033333
sub_836,Veh-Veh,A_Veh_Veh,0,10,10,0,50,8,7.459333333
sub_836,Veh-Veh,A_Veh_Veh,0,20,10,0,100,7,5.5935
sub_836,Veh-Veh,A_Veh_Veh,0,40,10,0,200,9,5.714166667
sub_836,Veh-Veh,A_Veh_Veh,0,80,8,2,270,10,14.38116667
sub_836,.1Hal - Veh,B_Hal_Veh,0,10,7,3,28,5,13.74016667
sub_836,.1Hal - Veh,B_Hal_Veh,0,20,5,5,0,9,18.8775
sub_836,.1Hal - Veh,B_Hal_Veh,0,40,5,5,1,6,21.37466667
sub_836,.1Hal - Veh,B_Hal_Veh,0,80,5,5,1,10,18.96916667
sub_836,.1Hal - .125KW,C_Hal_.125KW,0,10,10,0,50,5,11.19766667
sub_836,.1Hal - .125KW,C_Hal_.125KW,0,20,6,4,45,6,18.4155
sub_836,.1Hal - .125KW,C_Hal_.125KW,0,40,5,5,40,4,22.393
sub_836,.1Hal - .125KW,C_Hal_.125KW,0,80,5,5,0,6,22.78233333
